,count,mean,std,min,25%,50%,75%,max
meas_wind_speed,129600.0,13.959610939025879,6.406386852264404,1.7000000476837158,8.399999618530273,13.899999618530273,19.399999618530273,27.799999237060547
meas_turbulence_std,129600.0,2.0791828632354736,0.7433078289031982,0.25,1.5,2.049999952316284,2.6500000953674316,4.5
meas_wind_direction,129600.0,-0.11212190985679626,12.747333526611328,-49.0,-9.0,0.0,8.0,56.0
meas_wave_hs,129600.0,3.552534580230713,1.9167603254318237,0.25,2.0,3.1500000953674316,4.900000095367432,10.5
meas_wave_tp,129600.0,11.46973991394043,2.0993025302886963,5.099999904632568,9.899999618530273,11.5,13.0,18.299999237060547
meas_tower_damage_rate,129600.0,1.5109594642126467e-05,2.895512261602562e-05,4.73431793768242e-10,5.217168990157006e-07,2.2360187585945823e-06,8.344798970938427e-06,0.0002009666059166193
meas_thrust,129600.0,1315220.375,710994.75,0.0,755445.75,1282349.5,1778083.875,3331352.0
meas_power,129600.0,13127809.0,7920054.0,0.0,5850000.0,14170000.0,21700000.0,22480000.0
prev_pitch_offset_deg,129600.0,1.5771794319152832,2.0771262645721436,0.0,0.0,0.0,3.1760274171829224,7.999262809753418
prev_yaw_setpoint_deg,129600.0,-0.024334458634257317,8.098742485046387,-30.0,0.0,0.0,0.0,30.0
prev_ipc_level,129600.0,0.34882524609565735,0.3154542148113251,0.0,0.0,0.3198527842760086,0.6033110320568085,0.999970555305481
nacelle_yaw_deg,129600.0,-0.0777757540345192,13.899415969848633,-66.1021957397461,-9.237781524658203,-0.01276586763560772,9.095799446105957,78.68929290771484
yaw_error_deg,129600.0,-0.02543315291404724,8.82812213897705,-38.489830017089844,-4.3272223472595215,0.0,4.281351089477539,39.11445236206055
cumulative_damage_fraction,129600.0,0.12047731131315231,0.15004435181617737,0.0,0.011828557355329394,0.05676013231277466,0.17406882718205452,0.864418625831604
step_fraction,129600.0,0.5,0.2968095541000366,0.0,0.2500000111758709,0.5000000149011612,0.7500000149011612,1.0
