,dP_dpitch_MW_per_deg,dT_dpitch_kN_per_deg,ct_base
V=7,0.0,-71.95648200446857,0.8393198193
V=9,0.0,-111.53648958067502,0.8000354484
V=11,-0.17655394589801504,-187.21719475884643,0.628935793
V=14,-2.340447971393768,-228.17360225912742,0.2604020112
V=18,-3.3404429496260546,-226.10956674012215,0.120146809
V=22,-4.205028318307727,-226.0566787127714,0.06731093785
