Method,Mean Matched Sweep Objective,% of Oracle,Mean DEL Ratio,Fatigue Relief %,Power Loss %,Actuator Duty Proxy,No-Action Rate,IoT Performance Gap,Robustness Drop %,Parameter Count,Best Validation Epoch
FOWT_ARISE,0.0305997423396143,83.40692993838526,0.9682204299801482,3.1779570019851637,0.871977264928019,0.1234412584028323,0.4805555555555555,0.0002213066000021,0.7232302728106873,42697.0,3.0
ABLATION_N1,0.0303126088366848,82.624278774333,0.9678666894403464,3.2133310559653507,0.9431847400496506,0.1257464954954853,0.4005658436213992,0.0009687370830814,3.195822201581773,29289.0,2.0
ABLATION_N2,0.0304990526516791,83.13247606704478,0.9675053609733676,3.2494639026632264,0.9522337897716056,0.126363450014676,0.4685699588477366,0.0003875503444072,1.2706963355004834,38373.0,3.0
ABLATION_N3,-0.4634309111257253,-1263.1919937935206,0.9588957714630342,4.110422853696582,51.45252054505656,0.20329515782251,0.0,-0.0001911355199069,-0.0412435846030673,42697.0,11.0
ABLATION_N4,0.0306948570659494,83.66618791603396,0.9681985328281651,3.1801467171834923,0.8640222073637445,0.123608078925684,0.4814300411522634,0.0002561015206919,0.8343466794509249,42697.0,3.0
[reference] do_nothing,-2.501468900652664e-06,-0.0068183528810202,1.0,0.0,0.0002501468900652,0.0,1.0,,,,
[reference] ipc_half,0.0155453227164419,42.37250197369483,0.9836212277528982,1.6378772247101925,0.0002501468900652,0.1612903225806451,0.0,,,,
[reference] ipc_only,0.0259653463071805,70.77477307595564,0.9707722215708184,2.922777842918157,0.0002501468900652,0.3225806451612903,0.0,,,,
[reference] behaviour_logged,-0.1492433360898928,-406.79847362327416,0.9885199676708812,1.1480032329118983,16.05047501144434,0.1221737688085741,0.2560185185185185,,,,
[reference] ORACLE_best_of_sweep,0.0366872900875491,100.0,0.9683798660979838,3.1620133902016185,0.18418733158547,0.1322298977313867,0.4943930041152263,,,,
